,id,gold_label,sentence1,sentence2,sentence22
0,1,entailment,Two backpackers look at scenic mountains.,Two guys are carrying things on their back.,The travellling duo look at the valleys below.
1,2,entailment,An airplane flying over a fence with a few bystanders watching it as it approaches its landing.,The airplane is heavy,The engines re very loud.
2,3,entailment,Group of people stand near a fence watching a plane fly over them,Group of people standing outside,Some people are looking upwards.
3,4,entailment,a girl in a pumpkin dress sitting at a table.,There is a girl in a pumpkin dress sitting at a table.,You can only see her torso.
4,5,entailment,Three individuals are wearing tight blue nylon suits with one instructor in all black with a ponytail assisting them with putting on harnesses.,Three individuals are wearing tight blue nylon suits.,The people are equipping themselves to perform.
5,6,entailment,A band of young musicians are playing an intimate concert to a small crowd in an outdoor courtyard.,a band is playing,The band caters to a select crowd.
6,7,entailment,A live band on a lawn jamming out.,People are playing music.,Music fills the air outdoors.
7,8,entailment,"A young lady walking down the street wearing a black jacket, sunglasses, sneakers, jeans, & gloves.",A young lady is walking down the street.,The girl is very well covered.
8,9,entailment,A man with a tattoo is wearing sunglasses while holding a small boy.,There is a man with body art who is holding a young person.,The man with body art has his hands full.
9,10,entailment,A mother and her daughter are both wearing heels standing outside in a crowd on a brick pavement looking out at the street in amazement.,There are men on the brick pavement.,They are surprised at the scene in front of them.
10,11,entailment,A surgeon is performing an open surgery.,A doctor is doing surgery.,The surgeon is well-trained.
11,12,entailment,"A single runner, clothed in appropriate attire, jogging on a sidewalk next to a body of water, with buildings in the backdrop on the other side of the water.","A jogger, dressed for jogging, jogs on a sidewalk near water.",He is sweating due to the humidity.
12,13,entailment,a boy walks through the water.,A boy walks on water.,The boy wades in as water seeps into his clothes.
13,14,entailment,A woman is cleaning an outdoor pool.,There is a pool outside.,She is removing dirt crusted on the pool tiles.
14,15,entailment,A man and woman showing a small child how to use a gun.,A couple teaching a kid on firearm use,The couple are firearem experts and teachers.
15,16,entailment,A crowd of interested people surrounds a man swinging a sledgehammer.,A man swinging a sledgehammer.,People are impressed by the man's feat.
16,17,entailment,"Small boy hugged by person in bee costume, blurry urban background.",The boy is giving a hug.,The bee shows affection to the boy.
17,18,entailment,A treat vendor is standing in the sun while others sit in the shade under umbrellas.,A vendor is outside with other people.,The vendor is more likely to get sunburnt.
18,19,entailment,Young blond girl holding chopsticks looks with red eyes at camera while another girl in the background looks at food.,The girl is touching an object.,The girl with the chopsticks pauses before beginning her meal.
19,20,entailment,A lone man standing a rock shore looking downward at a inland body of water with a blue ocean or other large body of water behind him extending into the horizon of a blue sky.,You can observe some water in the frame.,The man is surrounded by water bodies.
20,21,entailment,A man about to smash something with a very large sledgehammer.,the sledgehammer is large,The man is using a very powerful tool.
21,22,entailment,Four people are bandaging a head wound.,People are bandaging an injured head.,The bleeding from the head wound has been stopped
22,23,entailment,Man observes a wavelength given off by an electronic device.,The man is examining what wavelength is given off by the device.,The man examines the device's output.
23,24,neutral,A bridesmaid gives a toast with a microphone while two other bridesmaids and a gentleman look on.,A bridesmaid is telling a story about the bride's childhood.,She is embarassing the bride with a childhood story.
24,25,neutral,A balding man is getting his shoes cleaned on a street corner.,An old man getting his shoes shined.,The man has an important appointment.
25,26,neutral,A group of young men in sports uniforms from two opposing teams are in vigorous play on a grassy field.,Men play soccer on the field,The men are cheered for by the crowd.
26,27,neutral,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,A small group of adults and children stand happily on a cobblestone street.,The children do not want to enter.
27,28,neutral,A woman looking through what appears to be a telescope.,An female astronamer looking toward the stars through her telescope.,She can barely see anything through clouds.
28,29,neutral,Four girls look at objects under a microscope.,Four sad girls look at objects under a microscope.,The bacteria is very dangerous.
29,30,neutral,Two ladies looking for bread to purchase.,The women are dating.,They are going to feed pigeons.
30,31,neutral,Two men boxing a ring while one boxer is hitting the other.,They are sports rivals.,The boxer is knocked out with three punches.
31,32,neutral,A race car sits in the pits.,The car is being repaired.,The car has blown two tires.
32,33,neutral,Grading and pricing fish in an open air fish market.,A fresh catch right off the boat has been delivered for sale to the market.,The fish have been kept out all day.
